match_id,datum_zapasu,domaci_tym,hoste_tym,goly_domaci,goly_hoste,kurz_domaci,kurz_remiza,kurz_hoste,domaci_hraci,hoste_hraci,elo_domaci,elo_hoste,elo_rozdil,forma_tymu_domaci,forma_tymu_hoste,domaci_dane_goly,domaci_dostane_goly,hoste_dane_goly,hoste_dostane_goly,domaci_forma_doma,hoste_forma_venku,h2h_uspesnost_domacich,domaci_ocekavane_goly,hoste_ocekavane_goly,domaci_forma_brankare,hoste_forma_brankare
5789454,2015-06-02,HBW Balingen/Weilstetten,Füchse Berlin,26,35,3.2,9.0,1.56,[],[],1500.0,1500.0,50.0,0.5,0.5,10.0,20.0,10.0,20.0,0.4,0.4,0.5,0.0,0.0,5.0,5.0
5789032,2015-06-03,TSV Hannover Burgdorf,THW Kiel,26,28,9.0,15.0,1.12,[],[],1500.0,1500.0,50.0,0.5,0.5,10.0,20.0,10.0,20.0,0.4,0.4,0.5,0.0,0.0,5.0,5.0
5789028,2015-06-03,Rhein Neckar Löwen,Die Eulen Ludwigshafen,37,21,1.0,31.0,31.0,[],[],1500.0,1500.0,50.0,0.5,0.5,10.0,20.0,10.0,20.0,0.4,0.4,0.5,0.0,0.0,5.0,5.0
5789474,2015-06-05,TUS N-Lübbecke,HC Erlangen,28,23,1.29,12.0,5.0,[],[],1500.0,1500.0,50.0,0.5,0.5,10.0,20.0,10.0,20.0,0.4,0.4,0.5,0.0,0.0,5.0,5.0
5789458,2015-06-05,THW Kiel,TBV Lemgo,33,29,1.0,23.0,19.0,[],[],1511.4292623481676,1500.0,61.42926234816764,1.0,0.5,28.0,26.0,10.0,20.0,0.4,0.4,0.5,0.0,0.0,5.0,5.0
5789476,2015-06-05,HSG Wetzlar,Frisch Auf Göppingen,29,24,1.75,9.0,2.6,[],[],1500.0,1500.0,50.0,0.5,0.5,10.0,20.0,10.0,20.0,0.4,0.4,0.5,0.0,0.0,5.0,5.0
5789472,2015-06-05,SC Magdeburg,Rhein Neckar Löwen,27,32,3.4,10.0,1.5,[],[],1500.0,1508.5707376518324,41.42926234816764,0.5,1.0,10.0,20.0,37.0,21.0,0.4,0.4,0.5,0.0,0.0,5.0,5.0
5789462,2015-06-05,Füchse Berlin,SG Flensburg Handewitt,29,32,1.8599999999999999,9.0,2.4,[],[],1511.4292623481676,1500.0,61.42926234816764,1.0,0.5,35.0,26.0,10.0,20.0,0.4,0.4,0.5,0.0,0.0,5.0,5.0
5789482,2015-06-05,Die Eulen Ludwigshafen,TSV GWD Minden,28,24,2.6,9.0,1.75,[],[],1491.4292623481676,1500.0,41.42926234816764,0.0,0.5,21.0,37.0,10.0,20.0,0.4,0.4,0.5,0.0,0.0,5.0,5.0
5789478,2015-06-05,SG Bietigheim-Metterzimmern,Bergischer HC,32,25,1.8,9.0,2.5,[],[],1500.0,1500.0,50.0,0.5,0.5,10.0,20.0,10.0,20.0,0.4,0.4,0.5,0.0,0.0,5.0,5.0
5789460,2015-06-05,HSV Hamburg,VfL Gummersbach,32,31,2.89,10.0,1.6,[],[],1500.0,1500.0,50.0,0.5,0.5,10.0,20.0,10.0,20.0,0.4,0.4,0.5,0.0,0.0,5.0,5.0
5789470,2015-06-05,MT Melsungen,TSV Hannover Burgdorf,29,26,1.2,13.0,6.5,[],[],1500.0,1488.5707376518324,61.42926234816764,0.5,0.0,10.0,20.0,26.0,28.0,0.4,0.4,0.5,0.0,0.0,5.0,5.0
6821786,2015-08-21,TVB 1898 Stuttgart,HSG Wetzlar,27,28,2.7,10.0,1.71,[],[],1500.0,1508.5707376518324,41.42926234816764,0.5,1.0,10.0,20.0,29.0,24.0,0.4,0.4,0.5,0.0,0.0,5.0,5.0
6821781,2015-08-22,MT Melsungen,Füchse Berlin,23,20,1.4,10.0,3.8,[],[],1508.250120109954,1499.6793824581216,58.57073765183236,1.0,0.5,29.0,26.0,32.0,29.0,1.0,1.0,0.5,0.0,0.0,5.0,5.0
